,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 02:31:00,56.0,53.0,53.0,59.0,48.0,46.0,44.0,56.0
2023-05-01 02:32:00,56.0,55.0,53.0,59.0,51.0,46.0,44.0,56.0
2023-05-01 02:33:00,56.0,54.0,53.0,59.0,50.0,46.0,44.0,56.0
2023-05-01 02:34:00,56.0,55.0,53.0,56.0,54.0,46.0,44.0,56.0
2023-05-01 02:35:00,56.0,53.0,53.0,56.0,49.0,46.0,44.0,56.0
2023-05-01 02:36:00,56.0,53.0,49.0,56.0,49.0,46.0,44.0,56.0
2023-05-01 02:37:00,56.0,54.0,53.0,56.0,49.0,46.0,44.0,54.0
2023-05-01 02:38:00,56.0,52.0,51.0,56.0,59.0,46.0,44.0,54.0
2023-05-01 02:39:00,56.0,56.0,49.0,56.0,59.0,46.0,44.0,54.0
2023-05-01 02:40:00,56.0,55.0,52.0,56.0,59.0,46.0,44.0,54.0
2023-05-01 02:41:00,56.0,53.0,55.0,58.0,60.0,46.0,44.0,54.0
2023-05-01 02:42:00,56.0,57.0,58.0,57.0,54.0,46.0,44.0,54.0
2023-05-01 02:43:00,56.0,60.0,53.0,56.0,56.0,46.0,45.0,52.0
2023-05-01 02:44:00,56.0,58.0,54.0,57.0,52.0,46.0,45.0,51.0
2023-05-01 02:45:00,56.0,56.0,52.0,51.0,52.0,46.0,45.0,50.0
2023-05-01 02:46:00,56.0,60.0,57.0,53.0,59.0,46.0,46.0,53.0
2023-05-01 02:47:00,56.0,58.0,56.0,53.0,49.0,46.0,45.0,57.0
2023-05-01 02:48:00,56.0,58.0,54.0,58.0,49.0,46.0,48.0,52.0
2023-05-01 02:49:00,56.0,55.0,57.0,54.0,49.0,46.0,48.0,55.0
2023-05-01 02:50:00,56.0,56.0,53.0,54.0,49.0,46.0,48.0,53.0
2023-05-01 02:51:00,56.0,56.0,54.0,54.0,49.0,46.0,48.0,56.0
