,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 02:27:00,53.0,49.6,52.6,52.0,54.5,46.0,44.5,52.8
2023-05-01 02:28:00,56.3,49.4,54.6,54.7,51.0,46.0,45.3,51.5
2023-05-01 02:29:00,55.7,51.2,50.8,54.7,49.5,46.5,45.0,48.0
2023-05-01 02:30:00,56.8,50.6,53.2,51.3,50.5,46.0,44.7,53.0
2023-05-01 02:31:00,55.8,49.8,52.0,50.0,51.0,46.0,44.7,51.5
2023-05-01 02:32:00,53.8,50.5,52.7,49.0,52.2,46.0,44.0,49.5
2023-05-01 02:33:00,53.5,49.8,52.8,49.5,52.0,46.3,45.0,49.0
2023-05-01 02:34:00,55.0,48.3,51.6,56.0,50.8,45.7,44.0,50.7
2023-05-01 02:35:00,55.0,50.7,52.5,48.5,51.2,46.0,45.0,49.3
2023-05-01 02:36:00,56.0,49.0,52.2,52.3,51.2,45.8,44.3,51.7
2023-05-01 02:37:00,54.6,48.0,52.2,52.5,49.2,47.3,44.5,53.0
2023-05-01 02:38:00,54.6,49.3,52.7,50.2,49.7,46.0,44.5,49.7
2023-05-01 02:39:00,54.8,50.7,56.2,51.2,49.3,45.7,44.8,51.5
2023-05-01 02:40:00,53.2,51.7,56.2,52.2,48.8,45.7,45.5,54.3
2023-05-01 02:41:00,53.5,53.7,53.2,51.8,48.6,46.3,44.5,53.7
2023-05-01 02:42:00,56.2,53.3,54.0,53.0,49.8,46.0,44.8,54.7
2023-05-01 02:43:00,56.0,52.5,56.2,52.2,48.6,45.5,44.5,50.3
2023-05-01 02:44:00,56.0,52.0,54.5,51.4,48.0,46.0,45.5,52.0
2023-05-01 02:45:00,61.5,51.2,52.8,53.0,49.7,46.5,44.8,55.5
2023-05-01 02:46:00,56.3,52.0,52.0,52.8,47.7,46.5,44.7,51.0
2023-05-01 02:47:00,56.0,52.6,52.4,54.0,48.2,46.0,45.5,51.5
2023-05-01 02:48:00,56.3,51.0,52.2,52.5,48.3,46.0,44.0,53.0
2023-05-01 02:49:00,57.0,51.2,51.8,53.3,48.6,45.0,44.5,48.0
2023-05-01 02:50:00,56.7,53.2,53.8,52.0,48.8,45.5,44.5,47.0
2023-05-01 02:51:00,54.2,51.2,52.0,56.3,49.8,45.5,45.0,52.0
2023-05-01 02:52:00,52.3,51.4,51.0,53.5,47.8,46.0,44.7,52.5
2023-05-01 02:53:00,51.0,53.5,52.4,54.5,46.6,46.0,44.3,48.0
2023-05-01 02:54:00,46.5,52.6,59.0,57.5,48.4,46.0,44.7,52.5
2023-05-01 02:55:00,49.7,51.7,52.0,51.5,49.2,46.0,44.3,52.0
2023-05-01 02:56:00,50.5,50.8,53.5,55.0,47.8,46.0,44.7,53.0
2023-05-01 02:57:00,51.0,52.8,49.0,53.0,46.0,47.0,44.5,51.0
2023-05-01 02:58:00,51.0,53.8,55.5,54.5,46.3,46.0,45.5,54.5
2023-05-01 02:59:00,51.0,50.2,49.0,55.0,48.0,46.0,45.5,52.5
2023-05-01 03:00:00,51.0,50.0,49.0,56.0,48.5,46.0,44.5,55.2
2023-05-01 03:01:00,50.5,50.7,54.0,55.0,48.0,46.0,44.5,54.8
2023-05-01 03:02:00,50.0,52.3,51.0,56.5,49.0,46.0,45.0,52.8
2023-05-01 03:03:00,50.5,50.2,55.0,53.0,46.0,46.0,45.0,51.5
2023-05-01 03:04:00,51.0,52.0,49.3,53.0,51.0,45.5,44.5,52.0
2023-05-01 03:05:00,46.7,49.8,52.7,54.5,49.0,45.0,44.5,52.5
2023-05-01 03:06:00,45.3,49.7,50.2,51.3,46.0,51.0,44.0,51.0
2023-05-01 03:07:00,45.3,50.7,49.6,53.0,50.0,48.0,44.8,52.0
2023-05-01 03:08:00,45.5,50.2,49.4,52.2,46.0,48.5,44.2,53.0
2023-05-01 03:09:00,47.8,49.3,51.8,51.8,46.0,50.0,44.5,48.0
2023-05-01 03:10:00,49.0,49.4,48.4,52.0,46.5,46.8,44.8,51.5
2023-05-01 03:11:00,48.8,49.3,51.1,52.3,51.0,49.3,45.0,51.0
2023-05-01 03:12:00,48.0,51.0,50.9,51.3,45.5,51.0,45.7,52.5
2023-05-01 03:13:00,48.2,51.2,50.0,51.0,47.5,49.3,45.7,52.2
2023-05-01 03:14:00,47.8,50.8,50.5,51.8,47.0,46.7,45.0,53.8
2023-05-01 03:15:00,47.5,51.6,50.8,52.2,50.7,52.0,49.0,51.0
2023-05-01 03:16:00,51.0,51.8,51.4,51.8,48.7,50.0,44.0,52.2
2023-05-01 03:17:00,50.5,51.0,48.8,50.0,48.7,51.0,44.3,53.0
2023-05-01 03:18:00,46.0,52.4,52.2,51.4,48.0,54.0,44.0,49.5
2023-05-01 03:19:00,50.5,52.2,49.5,52.0,51.5,51.5,44.5,54.2
2023-05-01 03:20:00,46.0,51.6,50.8,51.4,50.3,50.5,45.5,51.7
2023-05-01 03:21:00,46.0,50.2,51.4,51.2,52.3,51.5,45.0,52.0
2023-05-01 03:22:00,46.0,51.6,51.5,50.7,50.0,49.0,45.5,54.5
2023-05-01 03:23:00,57.0,54.8,52.2,53.3,50.3,49.3,45.3,51.0
