edges,edges,name,ddB,edB,ndB
"(488239226, 10579233, 0)","(488239226, 10579233, 0)",Tõnismägi,56.87095085470085,54.274839743589745,49.59078525641026
"(10580820, 1462644387, 0)","(10580820, 1462644387, 0)",,56.51794871794872,52.20221153846153,49.031602564102556
"(616903507, 1054298532, 0)","(616903507, 1054298532, 0)",,55.36347756410257,52.34017628205128,51.235272435897436
"(31288176, 31288173, 0)","(31288176, 31288173, 0)",,62.617200854700855,60.00137820512821,55.17538461538461
"(1054298532, 9892318681, 0)","(1054298532, 9892318681, 0)",,60.71302350427351,57.3574358974359,52.77429487179488
"(61899899, 61899901, 0)","(61899899, 61899901, 0)",,51.09732905982906,47.533044871794885,46.437516025641024
"(1462644425, 29271433, 0)","(1462644425, 29271433, 0)",,55.77188034188035,52.51185897435897,48.90179487179486
"(312961343, 312961357, 0)","(312961343, 312961357, 0)",,55.1492094017094,53.224967948717946,51.924455128205125
"(82521837, 82515907, 0)","(82521837, 82515907, 0)",Räägu,56.4525,54.27057692307692,46.835833333333326
"(1479175872, 1336107835, 0)","(1479175872, 1336107835, 0)",Peterburi tee,58.66970085470086,54.749407051282056,51.76880608974359
"(928292305, 928292316, 0)","(928292305, 928292316, 0)",Ahju,58.42293269230769,54.906554487179484,50.06246794871795
"(57665677, 57665679, 0)","(57665677, 57665679, 0)",,55.27956196581196,53.646794871794874,49.746201923076924
